id_transaccion,fecha_hora,sucursal,canal,cliente_id,segmento_cliente,edad_cliente,antiguedad_meses,categoria,producto_id,precio_unitario,cantidad,descuento_pct,campania,medio_pago,dias_entrega,satisfaccion,devolucion,monto_venta,monto_reembolso
TX023594,2025-01-01 06:35:33,La Florida,Web,C01329,Estándar,29,43,Hogar,HOG04,45240,1,0,Sin campaña,Crédito,3,3.6,0,45240,0
TX023500,2025-01-01 07:18:39,Vitacura,App,C03095,Estándar,30,43,Vestuario,VES04,41820,1,0,Sin campaña,Débito,1,3.8,0,41820,0
TX001390,2025-01-01 07:58:02,Las Condes,Web,C03960,Estándar,33,55,Hogar,HOG04,44740,1,7,Sin campaña,Billetera digital,4,3.3,0,41608,0
TX012896,2025-01-01 08:17:14,Las Condes,Web,C04504,Estándar,68,50,Deportes,DEP06,182300,1,10,Sin campaña,Débito,3,3.8,0,164070,0
TX007702,2025-01-01 10:46:48,Centro,Tienda,C04060,Premium,25,37,Vestuario,VES06,91310,2,8,Sin campaña,Débito,0,4.3,0,168010,0
TX020207,2025-01-01 10:48:19,Centro,Tienda,C00875,Premium,18,3,Belleza,BEL04,24690,1,0,Sin campaña,Transferencia,0,4.0,0,24690,0
TX016942,2025-01-01 11:07:51,Estación Central,Tienda,C04364,Estándar,32,28,Alimentos,ALI05,13420,2,2,Sin campaña,Crédito,0,4.7,0,26303,0
TX020209,2025-01-01 11:29:07,Las Condes,App,C01126,Estándar,48,18,Hogar,HOG03,24500,1,6,Sin campaña,Débito,3,4.2,0,23030,0
TX013567,2025-01-01 11:35:59,Centro,Tienda,C04623,Estándar,51,1,Belleza,BEL05,38670,3,7,Sin campaña,Transferencia,0,4.5,0,107889,0
TX014015,2025-01-01 11:36:25,Las Condes,App,C00951,Estándar,41,37,Tecnología,TEC04,124610,2,10,Sin campaña,Crédito,3,4.1,0,224298,0
TX004949,2025-01-01 12:17:12,La Florida,Tienda,C04908,Premium,42,21,Deportes,DEP03,35420,1,8,Sin campaña,Crédito,0,4.3,0,32586,0
TX016152,2025-01-01 12:36:25,La Florida,App,C03018,Estándar,27,27,Hogar,HOG06,146560,1,6,Sin campaña,Débito,2,,0,137766,0
TX024618,2025-01-01 12:51:45,Estación Central,Tienda,C03708,Estándar,28,66,Alimentos,ALI01,2000,1,5,Sin campaña,Débito,0,3.7,1,1900,1900
TX009596,2025-01-01 13:08:58,Las Condes,Tienda,C03267,Premium,35,40,Belleza,BEL05,40860,1,9,Sin campaña,Crédito,0,4.0,0,37183,0
TX006434,2025-01-01 13:55:55,Estación Central,Tienda,C01252,Estándar,54,29,Vestuario,VES03,23790,3,5,Sin campaña,Débito,0,4.4,0,67802,0
TX006985,2025-01-01 14:35:54,Vitacura,Tienda,C03015,Estándar,44,29,Tecnología,TEC03,78130,1,23,Sin campaña,Débito,0,3.8,0,60160,0
TX010840,2025-01-01 15:41:41,Centro,App,C00041,Estándar,40,68,Vestuario,VES01,8330,1,7,Sin campaña,Débito,7,4.0,0,7747,0
TX016471,2025-01-01 16:21:41,La Florida,App,C02412,Estándar,47,31,Deportes,DEP02,19480,3,19,Sin campaña,Crédito,1,3.9,0,47336,0
TX001250,2025-01-01 17:01:05,Centro,Tienda,C02390,Estándar,38,6,Deportes,DEP02,20600,1,6,Sin campaña,Billetera digital,0,4.9,0,19364,0
TX000042,2025-01-01 17:08:29,Vitacura,Tienda,C02391,Estándar,49,9,Alimentos,ALI03,6550,1,6,Sin campaña,Débito,0,3.6,0,6157,0
TX009628,2025-01-01 17:09:09,Centro,Tienda,C02392,Premium,47,20,Tecnología,TEC06,464730,1,21,Sin campaña,Billetera digital,0,4.4,0,367137,0
TX017755,2025-01-01 17:38:00,Maipú,Web,C00160,Estándar,38,33,Deportes,DEP06,176440,1,8,Sin campaña,Transferencia,2,4.5,0,162325,0
TX012228,2025-01-01 17:51:14,Estación Central,Tienda,C00205,Premium,31,52,Belleza,BEL05,39980,1,2,Sin campaña,Billetera digital,0,,0,39180,0
TX011522,2025-01-01 18:15:27,Estación Central,Tienda,C04127,Estándar,20,19,Vestuario,VES05,60030,1,12,Sin campaña,Crédito,0,3.8,0,52826,0
TX016344,2025-01-01 18:20:22,Vitacura,Tienda,C05066,Estándar,23,4,Vestuario,VES03,24220,1,2,Sin campaña,Crédito,0,4.2,0,23736,0
TX009566,2025-01-01 18:58:24,Estación Central,Web,C05431,Estándar,50,15,Alimentos,ALI05,13070,2,4,Sin campaña,Débito,4,3.6,0,25094,0
TX005938,2025-01-01 19:25:27,Ñuñoa,Tienda,C06026,Premium,26,17,Vestuario,VES05,59620,1,10,Sin campaña,Transferencia,0,3.4,0,53658,0
TX015894,2025-01-01 20:08:32,Centro,Tienda,C02837,Estándar,47,33,Alimentos,ALI04,9280,1,7,Sin campaña,Crédito,0,3.9,0,8630,0
TX001617,2025-01-01 20:37:22,Ñuñoa,App,C04746,Estándar,71,36,Vestuario,VES01,8040,1,11,Sin campaña,Crédito,4,,0,7156,0
TX022071,2025-01-01 20:49:09,Vitacura,App,C00940,Estándar,54,35,Hogar,HOG06,148830,2,8,Sin campaña,Crédito,4,3.2,0,273847,0
TX023751,2025-01-01 20:56:03,Providencia,Web,C01204,Estándar,31,50,Hogar,HOG05,93550,2,9,Sin campaña,Crédito,2,3.4,0,170261,0
TX008063,2025-01-01 20:57:49,Maipú,Web,C02478,Estándar,35,5,Alimentos,ALI01,2090,1,7,Sin campaña,Crédito,2,3.8,0,1944,0
TX000114,2025-01-01 21:04:18,Providencia,App,C05939,Premium,18,41,Hogar,HOG01,6700,1,8,Sin campaña,Crédito,1,4.0,0,6164,0
TX024337,2025-01-01 21:19:41,Providencia,App,C05751,Premium,40,72,Belleza,BEL03,15180,1,0,Sin campaña,Débito,1,3.5,0,15180,0
TX005813,2025-01-01 21:51:44,Estación Central,App,C04150,Estándar,39,19,Deportes,DEP06,178230,3,2,Sin campaña,Billetera digital,2,4.7,0,523996,0
TX015606,2025-01-01 22:59:55,Centro,Web,C04755,Convenio Empresa,42,30,Vestuario,VES02,15200,34,13,Sin campaña,Transferencia,2,3.6,0,449616,0
TX010284,2025-01-01 23:45:58,Estación Central,App,C04094,Estándar,43,13,Hogar,HOG05,84870,1,5,Sin campaña,Crédito,3,3.8,0,80626,0
TX005368,2025-01-02 01:12:41,Ñuñoa,App,C01954,Estándar,18,59,Alimentos,ALI04,9560,2,0,Sin campaña,Débito,2,3.3,0,19120,0
TX000071,2025-01-02 01:14:29,La Florida,Web,C05455,Estándar,38,9,Tecnología,TEC04,137160,4,26,Sin campaña,Crédito,1,3.9,0,405994,0
TX007913,2025-01-02 01:31:12,Centro,Web,C00686,Estándar,48,18,Deportes,DEP02,21640,1,2,Sin campaña,Débito,8,2.5,0,21207,0
TX001527,2025-01-02 02:37:26,Centro,Web,C05641,Estándar,48,16,Hogar,HOG01,7060,1,9,Sin campaña,Crédito,4,3.3,0,6425,0
TX009663,2025-01-02 03:07:55,Estación Central,App,C00015,Estándar,49,1,Hogar,HOG06,148670,1,17,Sin campaña,Crédito,3,3.4,0,123396,0
TX012034,2025-01-02 03:39:41,Providencia,App,C01402,Estándar,58,33,Tecnología,TEC03,83550,1,20,Sin campaña,Crédito,8,2.8,0,66840,0
TX015754,2025-01-02 05:47:01,Centro,Web,C02769,Estándar,53,9,Vestuario,VES04,41550,1,6,Sin campaña,Débito,2,4.2,0,39057,0
TX007350,2025-01-02 06:06:11,Estación Central,App,C01973,Estándar,37,21,Vestuario,VES05,59890,1,16,Sin campaña,Billetera digital,4,4.0,0,50308,0
TX015010,2025-01-02 06:26:21,La Florida,Web,C03213,Estándar,27,88,Vestuario,VES05,65120,1,9,Sin campaña,Crédito,1,3.6,0,59259,0
TX019186,2025-01-02 06:53:49,Las Condes,App,C00275,Premium,58,54,Vestuario,VES03,24780,1,17,Sin campaña,Débito,2,3.2,0,20567,0
TX004148,2025-01-02 07:04:12,Maipú,App,C04196,Estándar,54,52,Alimentos,ALI05,12890,1,4,Sin campaña,Crédito,4,3.7,0,12374,0
TX013691,2025-01-02 07:27:58,Providencia,Web,C02953,Estándar,51,15,Belleza,BEL05,41410,4,7,Sin campaña,Crédito,3,3.7,0,154045,0
TX000642,2025-01-02 08:02:24,La Florida,App,C02754,Estándar,46,19,Hogar,HOG03,24980,1,11,Sin campaña,Transferencia,2,2.9,0,22232,0
TX003397,2025-01-02 08:43:19,Vitacura,Web,C02967,Premium,52,16,Alimentos,ALI01,2030,1,8,Sin campaña,Crédito,4,3.4,0,1868,0
TX002324,2025-01-02 08:55:34,Las Condes,App,C00795,Estándar,32,32,Belleza,BEL04,24570,2,0,Sin campaña,Crédito,2,4.3,0,49140,0
TX007939,2025-01-02 09:09:01,Providencia,Web,C01548,Estándar,55,29,Tecnología,TEC04,138260,1,23,Sin campaña,Crédito,8,3.4,0,106460,0
TX003828,2025-01-02 10:00:55,La Florida,Tienda,C00850,Premium,34,24,Hogar,HOG04,45740,4,7,Sin campaña,Transferencia,0,4.0,0,170153,0
TX009189,2025-01-02 11:04:10,Las Condes,Tienda,C01391,Estándar,33,24,Hogar,HOG04,46530,2,14,Sin campaña,Transferencia,0,5.0,0,80032,0
TX014757,2025-01-02 11:04:50,Providencia,Tienda,C03627,Premium,23,22,Vestuario,VES06,83990,3,14,Sin campaña,Crédito,0,4.5,0,216694,0
TX024160,2025-01-02 11:33:43,Estación Central,Tienda,C01079,Premium,24,26,Deportes,DEP05,104940,1,2,Sin campaña,Crédito,0,5.0,0,102841,0
TX013402,2025-01-02 11:51:02,Providencia,Tienda,C02420,Estándar,18,51,Deportes,DEP03,34450,3,4,Sin campaña,Débito,0,3.5,0,99216,0
TX024062,2025-01-02 12:24:54,La Florida,Web,C03617,Estándar,37,20,Deportes,DEP02,20250,1,11,Sin campaña,Débito,3,3.5,0,18022,0
TX005684,2025-01-02 12:42:17,Maipú,Tienda,C01399,Estándar,24,83,Hogar,HOG05,87630,1,0,Sin campaña,Crédito,0,4.5,0,87630,0
TX010157,2025-01-02 12:58:16,Providencia,Tienda,C02012,Estándar,27,41,Hogar,HOG04,43480,1,0,Sin campaña,Débito,0,4.0,0,43480,0
TX015107,2025-01-02 13:30:45,La Florida,Tienda,C01017,Estándar,50,38,Hogar,HOG02,13750,1,0,Sin campaña,Crédito,0,4.3,0,13750,0
TX015035,2025-01-02 13:43:47,Providencia,Tienda,C04093,Premium,57,15,Deportes,DEP06,187270,2,0,Sin campaña,Débito,0,4.4,0,374540,0
TX018609,2025-01-02 13:46:12,Las Condes,Tienda,C02128,Premium,43,24,Hogar,HOG02,13150,4,6,Sin campaña,Crédito,0,3.3,0,49444,0
TX004512,2025-01-02 13:57:26,Las Condes,Web,C00120,Estándar,62,38,Hogar,HOG01,6940,1,4,Sin campaña,Transferencia,2,4.0,0,6662,0
TX022768,2025-01-02 14:05:05,Providencia,Tienda,C04877,Premium,49,10,Belleza,BEL01,4920,1,1,Sin campaña,Crédito,0,4.2,0,4871,0
TX005963,2025-01-02 14:18:10,Providencia,Web,C05159,Estándar,30,71,Hogar,HOG01,6700,1,14,Sin campaña,Crédito,6,3.1,0,5762,0
TX006393,2025-01-02 14:29:11,Centro,App,C01564,Estándar,48,45,Vestuario,VES02,14530,1,10,Sin campaña,Débito,4,4.2,0,13077,0
TX005433,2025-01-02 14:46:12,Las Condes,Web,C03638,Estándar,54,22,Tecnología,TEC05,243330,1,10,Sin campaña,Crédito,3,3.9,0,218997,0
TX017024,2025-01-02 14:57:08,Las Condes,Tienda,C00355,Premium,39,18,Belleza,BEL02,9500,3,0,Sin campaña,Débito,0,4.0,0,28500,0
TX014318,2025-01-02 15:05:54,Providencia,Tienda,C05593,Premium,24,87,Deportes,DEP05,104040,1,0,Sin campaña,Transferencia,0,3.9,0,104040,0
TX008303,2025-01-02 15:08:42,La Florida,Web,C04995,Estándar,29,34,Deportes,DEP02,19640,1,13,Sin campaña,Crédito,3,3.6,0,17087,0
TX006638,2025-01-02 15:32:45,Providencia,Web,C03242,Convenio Empresa,18,16,Vestuario,VES01,8010,27,12,Sin campaña,Crédito,2,3.7,0,190318,0
TX015914,2025-01-02 15:57:27,Las Condes,Web,C04192,Estándar,34,93,Vestuario,VES04,39330,1,0,Sin campaña,Crédito,5,3.3,0,39330,0
TX011519,2025-01-02 16:00:14,Centro,Tienda,C01541,Premium,34,14,Vestuario,VES04,40030,1,16,Sin campaña,Crédito,0,4.2,0,33625,0
TX003682,2025-01-02 16:01:48,Maipú,App,C04908,Premium,42,21,Vestuario,VES06,93050,1,13,Sin campaña,Transferencia,3,,1,80954,80954
TX012570,2025-01-02 16:30:45,Ñuñoa,Tienda,C06064,Estándar,35,51,Deportes,DEP03,32210,1,10,Sin campaña,Débito,0,4.8,0,28989,0
TX021222,2025-01-02 16:33:36,La Florida,App,C04314,Estándar,24,44,Alimentos,ALI03,5990,1,0,Sin campaña,Crédito,2,3.5,0,5990,0
TX016415,2025-01-02 17:50:33,Centro,Web,C01366,Estándar,27,38,Hogar,HOG04,45760,2,10,Sin campaña,Crédito,3,4.1,0,82368,0
TX000564,2025-01-02 17:56:54,Estación Central,Tienda,C00029,Estándar,49,25,Belleza,BEL05,41450,1,9,Sin campaña,Billetera digital,0,,0,37720,0
TX021505,2025-01-02 17:57:41,Vitacura,Tienda,C02540,Premium,21,20,Alimentos,ALI04,9040,1,1,Sin campaña,Billetera digital,0,4.4,0,8950,0
TX019848,2025-01-02 18:02:24,Estación Central,Tienda,C03885,Estándar,60,14,Alimentos,ALI01,2040,2,0,Sin campaña,Billetera digital,0,4.4,0,4080,0
TX012439,2025-01-02 18:37:46,Las Condes,Web,C01581,Estándar,60,84,Hogar,HOG02,13610,2,9,Sin campaña,Débito,1,3.9,0,24770,0
TX016954,2025-01-02 18:38:20,Providencia,Tienda,C00607,Premium,29,30,Deportes,DEP01,10640,1,0,Sin campaña,Crédito,0,4.2,0,10640,0
TX019809,2025-01-02 18:46:05,Vitacura,Web,C00317,Estándar,35,19,Tecnología,TEC05,239290,1,18,Sin campaña,Débito,3,,0,196218,0
TX014937,2025-01-02 19:02:03,La Florida,Tienda,C02861,Estándar,21,44,Vestuario,VES02,15020,1,14,Sin campaña,Débito,0,3.1,1,12917,12917
TX018883,2025-01-02 19:06:55,Ñuñoa,Tienda,C03379,Premium,41,40,Belleza,BEL01,5460,2,7,Sin campaña,Débito,0,,0,10156,0
TX006028,2025-01-02 19:07:14,Las Condes,Web,C02174,Estándar,19,45,Tecnología,TEC05,256040,2,10,Sin campaña,Débito,2,3.9,0,460872,0
TX009685,2025-01-02 19:08:49,Centro,App,C02956,Estándar,39,46,Alimentos,ALI03,5950,2,2,Sin campaña,Billetera digital,2,3.6,0,11662,0
TX016130,2025-01-02 19:11:09,Centro,Tienda,C03444,Estándar,43,58,Vestuario,VES05,59660,1,5,Sin campaña,Crédito,0,4.9,0,56677,0
TX020705,2025-01-02 19:30:55,Maipú,Web,C01913,Estándar,36,30,Hogar,HOG02,12970,2,10,Sin campaña,Débito,2,4.3,0,23346,0
TX015992,2025-01-02 19:57:48,La Florida,App,C01749,Estándar,58,38,Tecnología,TEC02,37120,1,10,Sin campaña,Débito,2,3.9,0,33408,0
TX012297,2025-01-02 20:04:16,Vitacura,Tienda,C05157,Estándar,18,6,Alimentos,ALI04,8650,2,0,Sin campaña,Débito,0,3.9,1,17300,17300
TX011870,2025-01-02 20:15:36,La Florida,App,C02669,Estándar,29,24,Hogar,HOG06,143120,2,14,Sin campaña,Crédito,4,3.4,0,246166,0
TX002863,2025-01-02 20:15:46,Vitacura,App,C02637,Estándar,39,13,Alimentos,ALI06,19860,1,0,Sin campaña,Débito,4,3.5,0,19860,0
TX009893,2025-01-02 20:45:50,Estación Central,Web,C06034,Estándar,41,40,Vestuario,VES06,95880,3,9,Sin campaña,Crédito,2,3.9,0,261752,0
TX014535,2025-01-02 20:57:52,La Florida,Web,C02942,Estándar,52,49,Vestuario,VES05,61580,1,9,Sin campaña,Crédito,4,4.1,0,56038,0
TX015692,2025-01-02 21:21:35,La Florida,App,C04514,Estándar,40,35,Tecnología,TEC03,78730,1,22,Sin campaña,Débito,5,3.0,0,61409,0
TX007737,2025-01-02 21:26:37,Centro,Web,C02586,Estándar,56,50,Tecnología,TEC01,19830,1,15,Sin campaña,Crédito,3,,0,16856,0
TX012339,2025-01-03 00:16:07,Maipú,App,C03429,Estándar,37,6,Belleza,BEL03,14490,1,0,Sin campaña,Crédito,1,4.1,0,14490,0
TX012442,2025-01-03 03:15:46,Las Condes,App,C05716,Estándar,51,29,Hogar,HOG03,25570,1,7,Sin campaña,Billetera digital,2,3.6,0,23780,0
TX005627,2025-01-03 03:52:13,Ñuñoa,App,C00138,Estándar,43,15,Alimentos,ALI01,1920,1,4,Sin campaña,Crédito,2,,0,1843,0
TX003895,2025-01-03 04:31:54,Providencia,App,C05926,Estándar,49,62,Hogar,HOG01,6650,1,7,Sin campaña,Débito,1,3.9,0,6184,0
TX002172,2025-01-03 05:23:37,La Florida,Web,C00567,Estándar,33,87,Deportes,DEP06,170690,1,0,Sin campaña,Transferencia,1,3.3,0,170690,0
TX015764,2025-01-03 05:56:30,Las Condes,App,C02805,Estándar,58,62,Belleza,BEL04,23620,3,9,Sin campaña,Débito,2,4.5,0,64483,0
TX006670,2025-01-03 06:47:13,Centro,Web,C02158,Premium,35,9,Deportes,DEP02,19630,2,9,Sin campaña,Billetera digital,1,3.4,0,35727,0
TX016323,2025-01-03 07:09:23,Providencia,App,C05541,Estándar,48,9,Hogar,HOG03,25160,3,0,Sin campaña,Débito,1,3.5,0,75480,0
TX010663,2025-01-03 07:22:39,La Florida,Web,C05325,Convenio Empresa,33,15,Vestuario,VES01,7710,27,18,Sin campaña,Débito,4,3.0,0,170699,0
TX023758,2025-01-03 07:56:42,Vitacura,App,C03422,Estándar,35,55,Vestuario,VES04,40480,1,1,Sin campaña,Crédito,3,3.8,0,40075,0
TX018121,2025-01-03 08:24:00,Centro,Web,C04388,Estándar,43,25,Deportes,DEP03,34410,1,0,Sin campaña,Crédito,3,3.7,0,34410,0
TX022686,2025-01-03 08:38:06,Ñuñoa,App,C04183,Estándar,18,118,Belleza,BEL03,15160,1,7,Sin campaña,Billetera digital,3,3.6,0,14099,0
TX000744,2025-01-03 08:42:38,Vitacura,Web,C04580,Estándar,46,21,Tecnología,TEC02,43550,3,18,Sin campaña,Billetera digital,4,,1,107133,107133
TX001837,2025-01-03 08:59:51,Vitacura,App,C03341,Premium,47,120,Tecnología,TEC05,253910,1,18,Sin campaña,Crédito,1,,1,208206,208206
TX018457,2025-01-03 09:01:36,La Florida,Web,C03653,Estándar,38,39,Vestuario,VES03,26610,1,7,Sin campaña,Débito,3,3.5,0,24747,0
TX009167,2025-01-03 09:21:11,Centro,Web,C05835,Estándar,26,3,Belleza,BEL02,8920,1,2,Sin campaña,Débito,3,3.7,0,8742,0
TX015166,2025-01-03 10:10:46,Ñuñoa,App,C06052,Estándar,28,40,Alimentos,ALI03,6160,3,1,Sin campaña,Crédito,2,3.5,0,18295,0
TX021335,2025-01-03 10:20:54,La Florida,Tienda,C02493,Premium,44,12,Alimentos,ALI02,3890,1,6,Sin campaña,Crédito,0,4.0,0,3657,0
TX017867,2025-01-03 10:26:50,Estación Central,Tienda,C02965,Premium,23,28,Alimentos,ALI01,1900,1,6,Sin campaña,Débito,0,4.0,0,1786,0
TX021846,2025-01-03 11:11:54,La Florida,Tienda,C04010,Estándar,31,59,Hogar,HOG03,25560,1,11,Sin campaña,Crédito,0,4.9,0,22748,0
TX016403,2025-01-03 11:22:46,Centro,Web,C03557,Estándar,45,45,Belleza,BEL05,38390,1,0,Sin campaña,Débito,7,1.0,1,38390,38390
TX003482,2025-01-03 11:39:04,La Florida,App,C04162,Estándar,41,23,Deportes,DEP04,56050,1,0,Sin campaña,Transferencia,1,4.3,0,56050,0
TX014806,2025-01-03 12:08:49,Centro,Web,C00993,Estándar,48,11,Alimentos,ALI04,8650,1,0,Sin campaña,Transferencia,2,3.7,0,8650,0
TX019476,2025-01-03 12:16:10,Ñuñoa,Web,C02955,Estándar,48,6,Tecnología,TEC01,20680,1,26,Sin campaña,Débito,1,3.3,0,15303,0
TX006303,2025-01-03 12:30:24,Providencia,Tienda,C02927,Premium,45,26,Vestuario,VES03,25690,1,11,Sin campaña,Billetera digital,0,4.2,0,22864,0
TX023568,2025-01-03 12:41:51,La Florida,Tienda,C02298,Estándar,18,41,Deportes,DEP02,19040,1,11,Sin campaña,Billetera digital,0,3.7,0,16946,0
TX000258,2025-01-03 12:47:20,Ñuñoa,Tienda,C00071,Premium,62,54,Tecnología,TEC02,42290,2,22,Sin campaña,Débito,0,4.3,0,65972,0
TX009740,2025-01-03 12:48:52,Las Condes,Tienda,C01791,Estándar,47,20,Belleza,BEL06,70010,1,8,Sin campaña,Débito,0,4.5,0,64409,0
TX003379,2025-01-03 13:32:36,Estación Central,App,C03614,Estándar,33,15,Vestuario,VES06,88000,1,5,Sin campaña,Crédito,3,3.4,0,83600,0
TX013073,2025-01-03 13:33:50,Ñuñoa,Tienda,C03263,Estándar,50,111,Deportes,DEP06,176590,1,4,Sin campaña,Transferencia,0,4.3,0,169526,0
TX007509,2025-01-03 13:38:53,Maipú,Tienda,C04260,Estándar,27,36,Belleza,BEL01,4610,2,11,Sin campaña,Crédito,0,4.6,0,8206,0
TX010337,2025-01-03 13:39:26,Las Condes,Tienda,C03587,Estándar,34,49,Hogar,HOG02,13080,1,0,Sin campaña,Crédito,0,4.1,0,13080,0
TX015496,2025-01-03 13:54:05,Las Condes,Tienda,C00243,Premium,35,40,Belleza,BEL01,4920,2,8,Sin campaña,Crédito,0,4.0,0,9053,0
TX019729,2025-01-03 13:57:32,Vitacura,Tienda,C02465,Estándar,18,30,Hogar,HOG01,6670,1,0,Sin campaña,Débito,0,3.0,1,6670,6670
TX018711,2025-01-03 14:28:12,Estación Central,Tienda,C05504,Estándar,27,44,Alimentos,ALI03,5870,1,1,Sin campaña,Transferencia,0,4.7,0,5811,0
TX002646,2025-01-03 14:39:01,Maipú,Tienda,C02273,Premium,50,56,Deportes,DEP05,98200,1,10,Sin campaña,Crédito,0,3.8,0,88380,0
TX003582,2025-01-03 14:47:01,Centro,Web,C05738,Estándar,46,65,Vestuario,VES03,26260,1,6,Sin campaña,Transferencia,3,4.0,0,24684,0
TX000432,2025-01-03 15:46:18,Ñuñoa,Tienda,C03150,Premium,48,6,Hogar,HOG06,152050,1,11,Sin campaña,Crédito,0,4.6,0,135324,0
TX008611,2025-01-03 16:00:03,Providencia,Web,C05547,Estándar,43,39,Tecnología,TEC05,248310,2,11,Sin campaña,Crédito,5,3.4,0,441992,0
TX009241,2025-01-03 16:47:06,Centro,Tienda,C02574,Premium,41,23,Hogar,HOG04,44670,1,13,Sin campaña,Transferencia,0,3.5,0,38863,0
TX010532,2025-01-03 16:54:32,Ñuñoa,Tienda,C01108,Premium,55,28,Tecnología,TEC03,81170,1,10,Sin campaña,Crédito,0,3.8,0,73053,0
TX004382,2025-01-03 17:44:36,Vitacura,Tienda,C00286,Estándar,24,46,Tecnología,TEC02,37120,3,27,Sin campaña,Crédito,0,4.4,0,81293,0
TX006155,2025-01-03 17:45:21,Centro,Web,C02934,Estándar,39,41,Alimentos,ALI02,3330,2,1,Sin campaña,Crédito,7,3.8,0,6593,0
TX001469,2025-01-03 18:03:30,La Florida,Tienda,C02890,Premium,21,15,Hogar,HOG05,93700,1,5,Sin campaña,Crédito,0,3.3,0,89015,0
TX018593,2025-01-03 18:48:33,Estación Central,Tienda,C02964,Premium,52,26,Alimentos,ALI06,20690,1,0,Sin campaña,Crédito,0,,0,20690,0
TX023644,2025-01-03 19:02:22,Maipú,Web,C04670,Estándar,51,67,Alimentos,ALI02,3450,1,4,Sin campaña,Crédito,3,2.9,0,3312,0
TX018990,2025-01-03 19:06:42,La Florida,App,C04790,Premium,52,39,Hogar,HOG05,89470,1,6,Sin campaña,Débito,2,4.0,0,84102,0
TX001698,2025-01-03 19:19:17,La Florida,App,C00803,Estándar,20,22,Hogar,HOG01,6800,1,6,Sin campaña,Crédito,2,3.3,0,6392,0
TX008976,2025-01-03 19:29:31,La Florida,App,C01833,Estándar,45,89,Hogar,HOG01,6830,1,5,Sin campaña,Crédito,2,2.9,1,6488,6488
TX005611,2025-01-03 20:12:33,Las Condes,Tienda,C06067,Estándar,50,67,Hogar,HOG02,13340,1,6,Sin campaña,Crédito,0,5.0,0,12540,0
TX002598,2025-01-03 20:15:52,Ñuñoa,Tienda,C03078,Estándar,42,33,Tecnología,TEC02,37490,1,24,Sin campaña,Débito,0,4.2,0,28492,0
TX020717,2025-01-03 20:22:47,Centro,Tienda,C01493,Premium,28,86,Alimentos,ALI01,1970,1,2,Sin campaña,Billetera digital,0,4.0,0,1931,0
TX019236,2025-01-03 20:46:22,Vitacura,Tienda,C01485,Premium,48,13,Alimentos,ALI02,3270,2,4,Sin campaña,Débito,0,3.9,0,6278,0
TX024252,2025-01-03 21:51:38,Estación Central,Web,C00583,Convenio Empresa,41,15,Vestuario,VES01,8160,2,13,Sin campaña,Débito,3,,0,14198,0
TX014360,2025-01-03 22:32:55,Vitacura,App,C04861,Estándar,40,41,Tecnología,TEC06,505580,2,20,Sin campaña,Crédito,2,2.0,1,808928,808928
